Invoice ID,Vendor,Amount,Activity,Timestamp,Invoice Status,Resource
INV-2025-0001,Northwind Traders,2536.05,Receive Invoice,2025-01-01T10:46:35Z,Received,Ben Okoro
INV-2025-0002,Acme Office Supplies,3776.81,Receive Invoice,2025-01-01T13:13:49Z,Received,Alice Chen
INV-2025-0003,Hooli Cloud,2369.22,Receive Invoice,2025-01-01T14:02:58Z,Received,Alice Chen
INV-2025-0004,Wonka Ingredients,604.32,Receive Invoice,2025-01-01T15:04:31Z,Received,Carla Reyes
INV-2025-0005,Umbrella Facilities,234.32,Receive Invoice,2025-01-01T15:16:15Z,Received,Alice Chen
INV-2025-0006,Globex Logistics,4263.38,Receive Invoice,2025-01-01T15:49:34Z,Received,Carla Reyes
INV-2025-0007,Wayne Utilities,4661.24,Receive Invoice,2025-01-01T16:09:13Z,Received,Carla Reyes
INV-2025-0005,Umbrella Facilities,1465.42,Begin Review,2025-01-01T21:31:15Z,In Progress,Alice Chen
INV-2025-0008,Stark Industrial,2932.45,Receive Invoice,2025-01-02T08:12:12Z,Received,Alice Chen
INV-2025-0009,Vandelay Imports,4754.85,Receive Invoice,2025-01-02T08:21:40Z,Received,Carla Reyes
INV-2025-0010,Soylent Catering,1933.99,Receive Invoice,2025-01-02T09:01:01Z,Received,Alice Chen
INV-2025-0011,Umbrella Facilities,3533.70,Receive Invoice,2025-01-02T09:04:15Z,Received,Alice Chen
INV-2025-0012,Cyberdyne Systems,2638.78,Receive Invoice,2025-01-02T09:44:31Z,Received,Ben Okoro
INV-2025-0013,Cyberdyne Systems,4277.12,Receive Invoice,2025-01-02T12:10:08Z,Received,Ben Okoro
INV-2025-0014,Initech Software,1857.00,Receive Invoice,2025-01-02T13:16:38Z,Received,Carla Reyes
INV-2025-0015,Hooli Cloud,618.20,Receive Invoice,2025-01-02T14:10:39Z,Received,Alice Chen
INV-2025-0016,Cyberdyne Systems,2871.42,Receive Invoice,2025-01-02T15:29:37Z,Received,Carla Reyes
INV-2025-0017,Globex Logistics,3595.20,Receive Invoice,2025-01-02T15:38:47Z,Received,Alice Chen
INV-2025-0003,Hooli Cloud,4111.14,Begin Review,2025-01-02T16:44:58Z,In Progress,Alice Chen
INV-2025-0010,Soylent Catering,922.32,Begin Review,2025-01-02T19:35:01Z,In Progress,Alice Chen
INV-2025-0001,Northwind Traders,3934.55,Begin Review,2025-01-02T21:54:35Z,In Progress,Ben Okoro
INV-2025-0007,Wayne Utilities,439.50,Begin Review,2025-01-03T03:45:13Z,In Progress,Carla Reyes
INV-2025-0006,Globex Logistics,885.38,Begin Review,2025-01-03T04:51:34Z,In Progress,Carla Reyes
INV-2025-0013,Cyberdyne Systems,4351.60,Begin Review,2025-01-03T07:15:08Z,In Progress,Ben Okoro
INV-2025-0018,Wonka Ingredients,4469.42,Receive Invoice,2025-01-03T09:28:15Z,Received,Alice Chen
INV-2025-0010,Soylent Catering,4105.70,Schedule Payment,2025-01-03T09:48:01Z,Ready to Pay,Alice Chen
INV-2025-0019,Wayne Utilities,2184.31,Receive Invoice,2025-01-03T10:14:15Z,Received,Ben Okoro
INV-2025-0002,Acme Office Supplies,2406.03,Begin Review,2025-01-03T10:26:49Z,In Progress,Alice Chen
INV-2025-0020,Hooli Cloud,3034.92,Receive Invoice,2025-01-03T11:20:47Z,Received,Alice Chen
INV-2025-0021,Acme Office Supplies,1988.98,Receive Invoice,2025-01-03T11:21:30Z,Received,Alice Chen
INV-2025-0022,Northwind Traders,3418.33,Receive Invoice,2025-01-03T12:16:39Z,Received,David Singh
INV-2025-0019,Wayne Utilities,1073.16,Begin Review,2025-01-03T13:16:15Z,In Progress,Ben Okoro
INV-2025-0004,Wonka Ingredients,2776.42,Begin Review,2025-01-03T13:20:31Z,In Progress,Carla Reyes
INV-2025-0023,Vandelay Imports,1940.65,Receive Invoice,2025-01-03T14:17:28Z,Received,David Singh
INV-2025-0024,Cyberdyne Systems,2119.01,Receive Invoice,2025-01-03T14:53:24Z,Received,David Singh
INV-2025-0025,Vandelay Imports,4025.57,Receive Invoice,2025-01-03T15:00:44Z,Received,Carla Reyes
INV-2025-0026,Hooli Cloud,1053.15,Receive Invoice,2025-01-03T15:08:56Z,Received,Carla Reyes
INV-2025-0017,Globex Logistics,103.61,Begin Review,2025-01-03T15:41:47Z,In Progress,Alice Chen
INV-2025-0016,Cyberdyne Systems,2328.09,Begin Review,2025-01-03T15:51:37Z,In Progress,Carla Reyes
INV-2025-0027,Vandelay Imports,3710.09,Receive Invoice,2025-01-03T16:28:49Z,Received,Ben Okoro
INV-2025-0019,Wayne Utilities,3966.55,Schedule Payment,2025-01-03T19:09:15Z,Ready to Pay,Ben Okoro
INV-2025-0011,Umbrella Facilities,3647.93,Begin Review,2025-01-03T20:23:15Z,In Progress,Alice Chen
INV-2025-0015,Hooli Cloud,3807.59,Begin Review,2025-01-03T20:35:39Z,In Progress,Alice Chen
INV-2025-0014,Initech Software,3290.07,Begin Review,2025-01-03T21:58:38Z,In Progress,Carla Reyes
INV-2025-0001,Northwind Traders,3145.04,Place On Hold,2025-01-04T00:35:35Z,On Hold,Ben Okoro
INV-2025-0005,Umbrella Facilities,1564.99,Cancel Invoice,2025-01-04T00:55:15Z,Cancelled,Alice Chen
INV-2025-0014,Initech Software,4209.42,Schedule Payment,2025-01-04T03:19:38Z,Ready to Pay,Carla Reyes
INV-2025-0022,Northwind Traders,3948.19,Begin Review,2025-01-04T04:52:39Z,In Progress,David Singh
INV-2025-0021,Acme Office Supplies,3010.27,Begin Review,2025-01-04T05:35:30Z,In Progress,Alice Chen
INV-2025-0003,Hooli Cloud,4448.47,Approve Invoice,2025-01-04T06:45:58Z,Approved,Emma Watts
INV-2025-0017,Globex Logistics,2489.22,Schedule Payment,2025-01-04T08:06:47Z,Ready to Pay,Alice Chen
INV-2025-0009,Vandelay Imports,2734.83,Begin Review,2025-01-04T08:42:40Z,In Progress,Carla Reyes
INV-2025-0008,Stark Industrial,1650.79,Begin Review,2025-01-04T08:52:12Z,In Progress,Alice Chen
INV-2025-0012,Cyberdyne Systems,3190.53,Begin Review,2025-01-04T09:47:31Z,In Progress,Ben Okoro
INV-2025-0013,Cyberdyne Systems,2397.39,Approve Invoice,2025-01-04T10:45:08Z,Approved,Frank Muller
INV-2025-0011,Umbrella Facilities,2037.06,Schedule Payment,2025-01-04T10:48:15Z,Ready to Pay,Alice Chen
INV-2025-0016,Cyberdyne Systems,4695.27,Raise Dispute,2025-01-04T10:48:37Z,Disputed,Carla Reyes
INV-2025-0020,Hooli Cloud,2183.55,Begin Review,2025-01-04T11:35:47Z,In Progress,Alice Chen
INV-2025-0024,Cyberdyne Systems,4085.50,Begin Review,2025-01-04T12:55:24Z,In Progress,David Singh
INV-2025-0007,Wayne Utilities,4082.72,Approve Invoice,2025-01-04T15:39:13Z,Approved,Emma Watts
INV-2025-0024,Cyberdyne Systems,523.80,Cancel Invoice,2025-01-04T16:52:24Z,Cancelled,David Singh
INV-2025-0003,Hooli Cloud,4590.31,Schedule Payment,2025-01-04T17:21:58Z,Ready to Pay,Alice Chen
INV-2025-0020,Hooli Cloud,3121.30,Schedule Payment,2025-01-04T17:27:47Z,Ready to Pay,Alice Chen
INV-2025-0023,Vandelay Imports,3515.70,Begin Review,2025-01-04T18:10:28Z,In Progress,David Singh
INV-2025-0027,Vandelay Imports,1301.57,Begin Review,2025-01-04T18:53:49Z,In Progress,Ben Okoro
INV-2025-0023,Vandelay Imports,1821.74,Approve Invoice,2025-01-04T21:18:28Z,Approved,Frank Muller
INV-2025-0018,Wonka Ingredients,1852.39,Begin Review,2025-01-04T21:19:15Z,In Progress,Alice Chen
INV-2025-0022,Northwind Traders,2234.08,Schedule Payment,2025-01-04T23:06:39Z,Ready to Pay,David Singh
INV-2025-0008,Stark Industrial,2127.33,Schedule Payment,2025-01-04T23:15:12Z,Ready to Pay,Alice Chen
INV-2025-0015,Hooli Cloud,2495.59,Approve Invoice,2025-01-05T00:00:39Z,Approved,Emma Watts
INV-2025-0013,Cyberdyne Systems,3952.78,Schedule Payment,2025-01-05T01:19:08Z,Ready to Pay,Ben Okoro
INV-2025-0018,Wonka Ingredients,1881.17,Approve Invoice,2025-01-05T04:07:15Z,Approved,Emma Watts
INV-2025-0025,Vandelay Imports,3951.68,Begin Review,2025-01-05T04:33:44Z,In Progress,Carla Reyes
INV-2025-0018,Wonka Ingredients,2238.12,Schedule Payment,2025-01-05T06:15:15Z,Ready to Pay,Alice Chen
INV-2025-0015,Hooli Cloud,3038.84,Schedule Payment,2025-01-05T08:17:39Z,Ready to Pay,Alice Chen
INV-2025-0007,Wayne Utilities,2664.44,Schedule Payment,2025-01-05T10:21:13Z,Ready to Pay,Carla Reyes
INV-2025-0027,Vandelay Imports,663.24,Schedule Payment,2025-01-05T11:07:49Z,Ready to Pay,Ben Okoro
INV-2025-0011,Umbrella Facilities,1608.30,Pay Invoice,2025-01-05T11:12:15Z,Paid,Payment Run
INV-2025-0004,Wonka Ingredients,1870.41,Approve Invoice,2025-01-05T12:03:31Z,Approved,Frank Muller
INV-2025-0023,Vandelay Imports,1182.57,Schedule Payment,2025-01-05T13:25:28Z,Ready to Pay,David Singh
INV-2025-0026,Hooli Cloud,2646.66,Begin Review,2025-01-05T15:58:56Z,In Progress,Carla Reyes
INV-2025-0002,Acme Office Supplies,2114.21,Cancel Invoice,2025-01-05T20:31:49Z,Cancelled,Alice Chen
INV-2025-0012,Cyberdyne Systems,4666.70,Approve Invoice,2025-01-06T01:59:31Z,Approved,Emma Watts
INV-2025-0004,Wonka Ingredients,3138.13,Schedule Payment,2025-01-06T02:48:31Z,Ready to Pay,Carla Reyes
INV-2025-0006,Globex Logistics,4447.08,Cancel Invoice,2025-01-06T07:06:34Z,Cancelled,Carla Reyes
INV-2025-0028,Stark Industrial,2808.12,Receive Invoice,2025-01-06T08:48:02Z,Received,David Singh
INV-2025-0021,Acme Office Supplies,874.56,Approve Invoice,2025-01-06T09:17:30Z,Approved,Emma Watts
INV-2025-0029,Northwind Traders,1667.21,Receive Invoice,2025-01-06T10:51:48Z,Received,Ben Okoro
INV-2025-0025,Vandelay Imports,2863.27,Approve Invoice,2025-01-06T10:55:44Z,Approved,Frank Muller
INV-2025-0016,Cyberdyne Systems,1299.10,Resolve Dispute,2025-01-06T11:17:37Z,In Progress,Carla Reyes
INV-2025-0030,Initech Software,2910.59,Receive Invoice,2025-01-06T11:41:55Z,Received,David Singh
INV-2025-0031,Wayne Utilities,1241.49,Receive Invoice,2025-01-06T13:15:54Z,Received,Alice Chen
INV-2025-0017,Globex Logistics,3439.12,Pay Invoice,2025-01-06T13:34:47Z,Paid,Payment Run
INV-2025-0025,Vandelay Imports,3168.67,Schedule Payment,2025-01-06T14:17:44Z,Ready to Pay,Carla Reyes
INV-2025-0021,Acme Office Supplies,1288.68,Schedule Payment,2025-01-06T14:25:30Z,Ready to Pay,Alice Chen
INV-2025-0032,Wonka Ingredients,1217.87,Receive Invoice,2025-01-06T14:42:22Z,Received,Ben Okoro
INV-2025-0031,Wayne Utilities,3530.30,Begin Review,2025-01-06T15:31:54Z,In Progress,Alice Chen
INV-2025-0033,Wonka Ingredients,4504.77,Receive Invoice,2025-01-06T15:54:40Z,Received,David Singh
INV-2025-0009,Vandelay Imports,1483.75,Cancel Invoice,2025-01-06T16:52:40Z,Cancelled,Carla Reyes
INV-2025-0012,Cyberdyne Systems,2166.21,Schedule Payment,2025-01-06T20:05:31Z,Ready to Pay,Ben Okoro
INV-2025-0010,Soylent Catering,515.25,Pay Invoice,2025-01-06T20:25:01Z,Paid,Payment Run
INV-2025-0029,Northwind Traders,1128.66,Begin Review,2025-01-06T21:44:48Z,In Progress,Ben Okoro
INV-2025-0019,Wayne Utilities,4746.95,Pay Invoice,2025-01-07T04:05:15Z,Paid,Payment Run
INV-2025-0028,Stark Industrial,2377.66,Begin Review,2025-01-07T04:17:02Z,In Progress,David Singh
INV-2025-0026,Hooli Cloud,3932.41,Approve Invoice,2025-01-07T05:20:56Z,Approved,Frank Muller
INV-2025-0034,Globex Logistics,1486.47,Receive Invoice,2025-01-07T08:14:19Z,Received,David Singh
INV-2025-0035,Umbrella Facilities,3055.14,Receive Invoice,2025-01-07T10:03:23Z,Received,Ben Okoro
INV-2025-0036,Vandelay Imports,1878.07,Receive Invoice,2025-01-07T11:07:18Z,Received,Carla Reyes
INV-2025-0037,Soylent Catering,3328.92,Receive Invoice,2025-01-07T11:53:15Z,Received,Carla Reyes
INV-2025-0030,Initech Software,1745.84,Begin Review,2025-01-07T12:07:55Z,In Progress,David Singh
INV-2025-0038,Globex Logistics,2065.70,Receive Invoice,2025-01-07T12:28:21Z,Received,Ben Okoro
INV-2025-0031,Wayne Utilities,483.25,Approve Invoice,2025-01-07T13:40:54Z,Approved,Emma Watts
INV-2025-0001,Northwind Traders,670.00,Resume Review,2025-01-07T14:02:35Z,In Progress,Ben Okoro
INV-2025-0039,Cyberdyne Systems,940.42,Receive Invoice,2025-01-07T14:28:58Z,Received,David Singh
INV-2025-0023,Vandelay Imports,4600.79,Pay Invoice,2025-01-07T17:19:28Z,Paid,Payment Run
INV-2025-0028,Stark Industrial,2346.73,Cancel Invoice,2025-01-07T17:25:02Z,Cancelled,David Singh
INV-2025-0032,Wonka Ingredients,3984.09,Begin Review,2025-01-07T17:34:22Z,In Progress,Ben Okoro
INV-2025-0037,Soylent Catering,1598.85,Begin Review,2025-01-07T18:18:15Z,In Progress,Carla Reyes
INV-2025-0030,Initech Software,4158.29,Schedule Payment,2025-01-07T20:07:55Z,Ready to Pay,David Singh
INV-2025-0034,Globex Logistics,2566.92,Begin Review,2025-01-07T21:58:19Z,In Progress,David Singh
INV-2025-0032,Wonka Ingredients,3883.32,Approve Invoice,2025-01-08T00:20:22Z,Approved,Frank Muller
INV-2025-0035,Umbrella Facilities,339.45,Begin Review,2025-01-08T04:41:23Z,In Progress,Ben Okoro
INV-2025-0037,Soylent Catering,933.18,Schedule Payment,2025-01-08T05:14:15Z,Ready to Pay,Carla Reyes
INV-2025-0033,Wonka Ingredients,3831.74,Begin Review,2025-01-08T05:33:40Z,In Progress,David Singh
INV-2025-0035,Umbrella Facilities,2998.92,Schedule Payment,2025-01-08T07:23:23Z,Ready to Pay,Ben Okoro
INV-2025-0003,Hooli Cloud,1806.25,Pay Invoice,2025-01-08T07:42:58Z,Paid,Payment Run
INV-2025-0040,Initech Software,482.36,Receive Invoice,2025-01-08T09:37:21Z,Received,Carla Reyes
INV-2025-0038,Globex Logistics,2164.68,Begin Review,2025-01-08T10:29:21Z,In Progress,Ben Okoro
INV-2025-0041,Stark Industrial,4782.07,Receive Invoice,2025-01-08T10:30:03Z,Received,Carla Reyes
INV-2025-0036,Vandelay Imports,2266.80,Begin Review,2025-01-08T12:02:18Z,In Progress,Carla Reyes
INV-2025-0042,Soylent Catering,3038.86,Receive Invoice,2025-01-08T12:47:35Z,Received,David Singh
INV-2025-0043,Wonka Ingredients,2586.36,Receive Invoice,2025-01-08T13:15:51Z,Received,Carla Reyes
INV-2025-0044,Stark Industrial,2172.86,Receive Invoice,2025-01-08T13:36:15Z,Received,Carla Reyes
INV-2025-0029,Northwind Traders,2707.62,Approve Invoice,2025-01-08T14:19:48Z,Approved,Frank Muller
INV-2025-0013,Cyberdyne Systems,4296.23,Pay Invoice,2025-01-08T19:19:08Z,Paid,Payment Run
INV-2025-0040,Initech Software,496.85,Begin Review,2025-01-08T19:49:21Z,In Progress,Carla Reyes
INV-2025-0016,Cyberdyne Systems,673.47,Approve Invoice,2025-01-08T19:58:37Z,Approved,Emma Watts
INV-2025-0018,Wonka Ingredients,4790.68,Pay Invoice,2025-01-08T22:22:15Z,Paid,Payment Run
INV-2025-0001,Northwind Traders,4651.87,Approve Invoice,2025-01-08T22:43:35Z,Approved,Emma Watts
INV-2025-0001,Northwind Traders,2101.37,Schedule Payment,2025-01-09T02:07:35Z,Ready to Pay,Ben Okoro
INV-2025-0043,Wonka Ingredients,4693.45,Begin Review,2025-01-09T05:52:51Z,In Progress,Carla Reyes
INV-2025-0029,Northwind Traders,2715.30,Schedule Payment,2025-01-09T07:01:48Z,Ready to Pay,Ben Okoro
INV-2025-0016,Cyberdyne Systems,2975.12,Schedule Payment,2025-01-09T07:30:37Z,Ready to Pay,Carla Reyes
INV-2025-0045,Umbrella Facilities,1780.97,Receive Invoice,2025-01-09T08:01:39Z,Received,Carla Reyes
INV-2025-0046,Soylent Catering,2377.84,Receive Invoice,2025-01-09T08:02:20Z,Received,Carla Reyes
INV-2025-0034,Globex Logistics,568.44,Place On Hold,2025-01-09T09:01:19Z,On Hold,David Singh
INV-2025-0044,Stark Industrial,4238.61,Begin Review,2025-01-09T09:12:15Z,In Progress,Carla Reyes
INV-2025-0047,Stark Industrial,494.61,Receive Invoice,2025-01-09T09:46:08Z,Received,Alice Chen
INV-2025-0046,Soylent Catering,1417.48,Begin Review,2025-01-09T10:35:20Z,In Progress,Carla Reyes
INV-2025-0048,Wonka Ingredients,3907.17,Receive Invoice,2025-01-09T10:35:50Z,Received,Ben Okoro
INV-2025-0021,Acme Office Supplies,3089.75,Pay Invoice,2025-01-09T11:31:30Z,Paid,Payment Run
INV-2025-0020,Hooli Cloud,1703.19,Pay Invoice,2025-01-09T11:49:47Z,Paid,Payment Run
